cv_valid_train_sample_191929-v1_cv_valid_train_sample_191929;cv_valid_train_sample_191929-v1;cv_valid_train_sample_191929;he should respect tradition;he should respect tradition;2
cv_valid_train_sample_191930-v1_cv_valid_train_sample_191930;cv_valid_train_sample_191930-v1;cv_valid_train_sample_191930;he sat looking at the sky for a long time;he sat looking at the sky for a long time;2
cv_valid_train_sample_191931-v1_cv_valid_train_sample_191931;cv_valid_train_sample_191931-v1;cv_valid_train_sample_191931;a boy came running towards me;a boy came running towards me;2
cv_valid_train_sample_191932-v1_cv_valid_train_sample_191932;cv_valid_train_sample_191932-v1;cv_valid_train_sample_191932;there are powerful forces on both sides and the war is important to both armies;there are powerful forces on both sides and the war is important to both armies;2
cv_valid_train_sample_191933-v1_cv_valid_train_sample_191933;cv_valid_train_sample_191933-v1;cv_valid_train_sample_191933;from that day on it was the desert that would be important;from that day on it was the desert that would be important;2
cv_valid_train_sample_191934-v1_cv_valid_train_sample_191934;cv_valid_train_sample_191934-v1;cv_valid_train_sample_191934;show me some gratitude;show me some gratitude;2
cv_valid_train_sample_191935-v1_cv_valid_train_sample_191935;cv_valid_train_sample_191935-v1;cv_valid_train_sample_191935;it's not easy to find the philosopher's stone said the englishman;it's not easy to find the philosopher's stone said the englishman;2
cv_valid_train_sample_191936-v1_cv_valid_train_sample_191936;cv_valid_train_sample_191936-v1;cv_valid_train_sample_191936;tomorrow sell your camel and buy a horse;tomorrow sell your camel and buy a horse;2
cv_valid_train_sample_191937-v1_cv_valid_train_sample_191937;cv_valid_train_sample_191937-v1;cv_valid_train_sample_191937;maybe it was because they moved around so much;maybe it was because they moved around so much;2
cv_valid_train_sample_191938-v1_cv_valid_train_sample_191938;cv_valid_train_sample_191938-v1;cv_valid_train_sample_191938;i thought you were chasing me;i thought you were chasing me;2
cv_valid_train_sample_191939-v1_cv_valid_train_sample_191939;cv_valid_train_sample_191939-v1;cv_valid_train_sample_191939;his eyes filled with tears as he spoke of the prophet;his eyes filled with tears as he spoke of the prophet;2
cv_valid_train_sample_191940-v1_cv_valid_train_sample_191940;cv_valid_train_sample_191940-v1;cv_valid_train_sample_191940;fortunately you can configure chrome to set up a debugging server;fortunately you can configure chrome to set up a debugging server;2
cv_valid_train_sample_191941-v1_cv_valid_train_sample_191941;cv_valid_train_sample_191941-v1;cv_valid_train_sample_191941;he could sell the stones and buy a return ticket;he could sell the stones and buy a return ticket;2
cv_valid_train_sample_191942-v1_cv_valid_train_sample_191942;cv_valid_train_sample_191942-v1;cv_valid_train_sample_191942;you'll be the only one who'll swipe any of it;you'll be the only one who'll swipe any of it;2
cv_valid_train_sample_191943-v1_cv_valid_train_sample_191943;cv_valid_train_sample_191943-v1;cv_valid_train_sample_191943;other servants maintained the fires in the hookahs;other servants maintained the fires in the hookahs;2
cv_valid_train_sample_191944-v1_cv_valid_train_sample_191944;cv_valid_train_sample_191944-v1;cv_valid_train_sample_191944;i wished i had a light to smoke by;i wished i had a light to smoke by;2
cv_valid_train_sample_191945-v1_cv_valid_train_sample_191945;cv_valid_train_sample_191945-v1;cv_valid_train_sample_191945;the boy awoke as the sun rose;the boy awoke as the sun rose;2
cv_valid_train_sample_191946-v1_cv_valid_train_sample_191946;cv_valid_train_sample_191946-v1;cv_valid_train_sample_191946;not always in this way but i always appear in one form or another;not always in this way but i always appear in one form or another;2
cv_valid_train_sample_191947-v1_cv_valid_train_sample_191947;cv_valid_train_sample_191947-v1;cv_valid_train_sample_191947;but he didn't need to worry about that right now;but he didn't need to worry about that right now;2
cv_valid_train_sample_191948-v1_cv_valid_train_sample_191948;cv_valid_train_sample_191948-v1;cv_valid_train_sample_191948;everything you need to know you have learned through your journey;everything you need to know you have learned through your journey;2
cv_valid_train_sample_191949-v1_cv_valid_train_sample_191949;cv_valid_train_sample_191949-v1;cv_valid_train_sample_191949;an alchemist said the alchemist;an alchemist said the alchemist;2
cv_valid_train_sample_191950-v1_cv_valid_train_sample_191950;cv_valid_train_sample_191950-v1;cv_valid_train_sample_191950;the wind began to pick up;the wind began to pick up;2
cv_valid_train_sample_191951-v1_cv_valid_train_sample_191951;cv_valid_train_sample_191951-v1;cv_valid_train_sample_191951;the boy approached her to ask about the alchemist;the boy approached her to ask about the alchemist;2
cv_valid_train_sample_191952-v1_cv_valid_train_sample_191952;cv_valid_train_sample_191952-v1;cv_valid_train_sample_191952;he left without saying goodbye to the crystal merchant;he left without saying goodbye to the crystal merchant;2
cv_valid_train_sample_191953-v1_cv_valid_train_sample_191953;cv_valid_train_sample_191953-v1;cv_valid_train_sample_191953;the englishman was unable to sleep one night;the englishman was unable to sleep one night;2
cv_valid_train_sample_191954-v1_cv_valid_train_sample_191954;cv_valid_train_sample_191954-v1;cv_valid_train_sample_191954;don't say anything fatima interrupted;don't say anything fatima interrupted;2
cv_valid_train_sample_191955-v1_cv_valid_train_sample_191955;cv_valid_train_sample_191955-v1;cv_valid_train_sample_191955;with a bag of marshmallows;with a bag of marshmallows;2
cv_valid_train_sample_191956-v1_cv_valid_train_sample_191956;cv_valid_train_sample_191956-v1;cv_valid_train_sample_191956;i don't blame you;i don't blame you;2
cv_valid_train_sample_191957-v1_cv_valid_train_sample_191957;cv_valid_train_sample_191957-v1;cv_valid_train_sample_191957;they provided warnings about thieves and barbarian tribes;they provided warnings about thieves and barbarian tribes;2
cv_valid_train_sample_191958-v1_cv_valid_train_sample_191958;cv_valid_train_sample_191958-v1;cv_valid_train_sample_191958;because i've always heard about them the boy answered saying nothing about his dream;because i've always heard about them the boy answered saying nothing about his dream;2
cv_valid_train_sample_191959-v1_cv_valid_train_sample_191959;cv_valid_train_sample_191959-v1;cv_valid_train_sample_191959;i needed immediate access;i needed immediate access;2
cv_valid_train_sample_191960-v1_cv_valid_train_sample_191960;cv_valid_train_sample_191960-v1;cv_valid_train_sample_191960;i saw a young man standing on the cylinder and trying to scramble out of the hole again;i saw a young man standing on the cylinder and trying to scramble out of the hole again;2
cv_valid_train_sample_191961-v1_cv_valid_train_sample_191961;cv_valid_train_sample_191961-v1;cv_valid_train_sample_191961;i'm going to them;i'm going to them;2
cv_valid_train_sample_191962-v1_cv_valid_train_sample_191962;cv_valid_train_sample_191962-v1;cv_valid_train_sample_191962;i just don't trust anyone who says they've never had hamburger helper;i just don't trust anyone who says they ve never had hamburger helper;2
cv_valid_train_sample_191963-v1_cv_valid_train_sample_191963;cv_valid_train_sample_191963-v1;cv_valid_train_sample_191963;some went away while i was there and other people came;some went away while i was there and other people came;2
cv_valid_train_sample_191964-v1_cv_valid_train_sample_191964;cv_valid_train_sample_191964-v1;cv_valid_train_sample_191964;one is loved because one is loved;one is loved because one is loved;2
cv_valid_train_sample_191965-v1_cv_valid_train_sample_191965;cv_valid_train_sample_191965-v1;cv_valid_train_sample_191965;an huge hole had been made by the impact of the projectile;an huge hole had been made by the impact of the projectile;2
cv_valid_train_sample_191966-v1_cv_valid_train_sample_191966;cv_valid_train_sample_191966-v1;cv_valid_train_sample_191966;the alchemist followed as the boy's horse ran for almost half an hour;the alchemist followed as the boy's horse ran for almost half an hour;2
cv_valid_train_sample_191967-v1_cv_valid_train_sample_191967;cv_valid_train_sample_191967-v1;cv_valid_train_sample_191967;i'm a woman of the desert she said averting her face;i'm a woman of the desert she said averting her face;2
cv_valid_train_sample_191968-v1_cv_valid_train_sample_191968;cv_valid_train_sample_191968-v1;cv_valid_train_sample_191968;a boy came running towards me;a boy came running towards me;2
cv_valid_train_sample_191969-v1_cv_valid_train_sample_191969;cv_valid_train_sample_191969-v1;cv_valid_train_sample_191969;the hand that evokes love and creates a twin soul for every person in the world;the hand that evokes love and creates a twin soul for every person in the world;2
cv_valid_train_sample_191970-v1_cv_valid_train_sample_191970;cv_valid_train_sample_191970-v1;cv_valid_train_sample_191970;what's the idea here;what's the idea here;2
cv_valid_train_sample_191971-v1_cv_valid_train_sample_191971;cv_valid_train_sample_191971-v1;cv_valid_train_sample_191971;scattered groups of people were hurrying from the direction of woking;scattered groups of people were hurrying from the direction of woking;2
cv_valid_train_sample_191972-v1_cv_valid_train_sample_191972;cv_valid_train_sample_191972-v1;cv_valid_train_sample_191972;strange images passed through my mind;strange images passed through my mind;2
cv_valid_train_sample_191973-v1_cv_valid_train_sample_191973;cv_valid_train_sample_191973-v1;cv_valid_train_sample_191973;i need one more;i need one more;2
cv_valid_train_sample_191974-v1_cv_valid_train_sample_191974;cv_valid_train_sample_191974-v1;cv_valid_train_sample_191974;the boy noticed that the owner of the bar stood nearby listening attentively to their conversation;the boy noticed that the owner of the bar stood nearby listening attentively to their conversation;2
cv_valid_train_sample_191975-v1_cv_valid_train_sample_191975;cv_valid_train_sample_191975-v1;cv_valid_train_sample_191975;the jacket had a purpose and so did the boy;the jacket had a purpose and so did the boy;2
cv_valid_train_sample_191976-v1_cv_valid_train_sample_191976;cv_valid_train_sample_191976-v1;cv_valid_train_sample_191976;he told fatima that at their next meeting;he told fatima that at their next meeting;2
cv_valid_train_sample_191977-v1_cv_valid_train_sample_191977;cv_valid_train_sample_191977-v1;cv_valid_train_sample_191977;i think they perceived that nothing was to be done at the moment;i think they perceived that nothing was to be done at the moment;2
cv_valid_train_sample_191978-v1_cv_valid_train_sample_191978;cv_valid_train_sample_191978-v1;cv_valid_train_sample_191978;no doubt the impact had caused a flash of fire;no doubt the impact had caused a flash of fire;2
cv_valid_train_sample_191979-v1_cv_valid_train_sample_191979;cv_valid_train_sample_191979-v1;cv_valid_train_sample_191979;he has done so much ghostwriting that he starts to feel like a ghost too;he has done so much ghostwriting that he starts to feel like a ghost too;2
cv_valid_train_sample_191980-v1_cv_valid_train_sample_191980;cv_valid_train_sample_191980-v1;cv_valid_train_sample_191980;but i like it that way;but i like it that way;2
cv_valid_train_sample_191981-v1_cv_valid_train_sample_191981;cv_valid_train_sample_191981-v1;cv_valid_train_sample_191981;the boy's heart began to speak of fear;the boy's heart began to speak of fear;2
cv_valid_train_sample_191982-v1_cv_valid_train_sample_191982;cv_valid_train_sample_191982-v1;cv_valid_train_sample_191982;he expertly gutted the rabbit;he expertly gutted the rabbit;2
cv_valid_train_sample_191983-v1_cv_valid_train_sample_191983;cv_valid_train_sample_191983-v1;cv_valid_train_sample_191983;there was no response from the elders;there was no response from the elders;2
cv_valid_train_sample_191984-v1_cv_valid_train_sample_191984;cv_valid_train_sample_191984-v1;cv_valid_train_sample_191984;all new generations of gpus support tesselation in hardware;all new generations of gpus support tesselation in hardware;2
cv_valid_train_sample_191985-v1_cv_valid_train_sample_191985;cv_valid_train_sample_191985-v1;cv_valid_train_sample_191985;has aunt stephanie come in yet;has aunt stephanie come in yet;2
cv_valid_train_sample_191986-v1_cv_valid_train_sample_191986;cv_valid_train_sample_191986-v1;cv_valid_train_sample_191986;it had told him to dig where his tears fell;it had told him to dig where his tears fell;2
cv_valid_train_sample_191987-v1_cv_valid_train_sample_191987;cv_valid_train_sample_191987-v1;cv_valid_train_sample_191987;but the king of salem hoped desperately that the boy would be successful;but the king of salem hoped desperately that the boy would be successful;2
cv_valid_train_sample_191988-v1_cv_valid_train_sample_191988;cv_valid_train_sample_191988-v1;cv_valid_train_sample_191988;who told you about omens the boy's interest was increasing by the moment;who told you about omens the boy's interest was increasing by the moment;2
cv_valid_train_sample_191989-v1_cv_valid_train_sample_191989;cv_valid_train_sample_191989-v1;cv_valid_train_sample_191989;strange images passed through my mind;strange images passed through my mind;2
cv_valid_train_sample_191990-v1_cv_valid_train_sample_191990;cv_valid_train_sample_191990-v1;cv_valid_train_sample_191990;the wind screamed with delight and blew harder than ever;the wind screamed with delight and blew harder than ever;2
